Frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[26.0, 236.0]","[405.0, 321.0]","[601.0, 343.0]",,,,,,,,,,,,,,,,
568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[25.0, 236.0]","[405.0, 318.0]","[600.0, 341.0]",,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[24.0, 237.0]","[403.0, 311.0]","[598.0, 338.0]",,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[24.0, 238.0]","[402.0, 305.0]","[596.0, 335.0]","[189.0, 354.0]",,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 238.0]","[400.0, 299.0]","[593.0, 332.0]","[190.0, 352.0]",,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 239.0]","[399.0, 294.0]","[587.0, 327.0]","[193.0, 349.0]",,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 240.0]","[397.0, 288.0]","[581.0, 320.0]","[194.0, 347.0]",,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 240.0]","[396.0, 283.0]","[575.0, 314.0]","[194.0, 344.0]","[613.0, 353.0]",,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 254.0]","[395.0, 278.0]","[569.0, 309.0]","[195.0, 342.0]","[609.0, 349.0]","[30.0, 226.0]",,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 240.0]","[394.0, 273.0]","[565.0, 302.0]","[197.0, 338.0]","[603.0, 343.0]","[22.0, 240.0]",,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21.0, 242.0]","[392.0, 268.0]","[560.0, 296.0]","[203.0, 339.0]","[597.0, 336.0]","[21.0, 242.0]",,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20.0, 242.0]","[391.0, 263.0]","[556.0, 292.0]","[205.0, 335.0]","[591.0, 330.0]","[20.0, 242.0]",,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20.0, 241.0]","[390.0, 259.0]","[551.0, 287.0]","[208.0, 330.0]","[585.0, 324.0]","[20.0, 241.0]",,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.0, 242.0]","[389.0, 255.0]","[547.0, 282.0]","[207.0, 330.0]","[580.0, 317.0]","[19.0, 242.0]",,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.0, 242.0]","[388.0, 250.0]","[551.0, 286.0]","[210.0, 322.0]",,"[19.0, 242.0]",,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[24.0, 230.0]","[387.0, 246.0]","[546.0, 281.0]","[212.0, 317.0]",,"[24.0, 230.0]","[11.0, 259.0]",,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[23.0, 232.0]","[386.0, 242.0]","[542.0, 277.0]","[213.0, 313.0]",,"[23.0, 232.0]","[12.0, 259.0]",,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 233.0]","[385.0, 238.0]","[530.0, 263.0]","[215.0, 310.0]",,"[22.0, 233.0]","[11.0, 259.0]","[561.0, 295.0]",,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[22.0, 233.0]","[385.0, 234.0]","[534.0, 268.0]","[216.0, 305.0]",,"[22.0, 233.0]","[11.0, 259.0]",,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[17.0, 244.0]","[384.0, 231.0]","[531.0, 263.0]","[220.0, 301.0]",,"[17.0, 244.0]","[17.0, 244.0]",,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[19.0, 235.0]","[383.0, 227.0]","[527.0, 259.0]","[218.0, 298.0]",,"[19.0, 235.0]","[19.0, 235.0]",,"[9.0, 261.0]",,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[20.0, 235.0]",,"[524.0, 256.0]","[223.0, 293.0]",,"[20.0, 235.0]","[20.0, 235.0]",,"[9.0, 262.0]",,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[15.0, 246.0]",,"[520.0, 252.0]","[223.0, 291.0]",,"[15.0, 246.0]","[15.0, 246.0]",,"[15.0, 246.0]",,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[14.0, 247.0]",,"[510.0, 239.0]","[225.0, 287.0]",,"[14.0, 247.0]","[14.0, 247.0]",,"[14.0, 247.0]","[536.0, 268.0]",,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 248.0]",,"[506.0, 235.0]","[226.0, 284.0]",,"[13.0, 248.0]","[13.0, 248.0]",,"[13.0, 248.0]","[531.0, 264.0]",,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12.0, 248.0]",,"[503.0, 232.0]","[228.0, 280.0]",,"[12.0, 248.0]","[12.0, 248.0]",,"[12.0, 248.0]","[528.0, 260.0]",,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[15.0, 238.0]",,"[500.0, 229.0]","[228.0, 277.0]",,"[15.0, 238.0]","[15.0, 238.0]",,"[15.0, 238.0]","[525.0, 256.0]","[7.0, 264.0]",,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12.0, 248.0]",,"[521.0, 252.0]","[229.0, 275.0]",,"[12.0, 248.0]","[12.0, 248.0]",,"[12.0, 248.0]","[521.0, 252.0]","[12.0, 248.0]",,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12.0, 248.0]",,"[518.0, 248.0]","[230.0, 271.0]",,"[12.0, 248.0]","[12.0, 248.0]",,"[12.0, 248.0]","[518.0, 248.0]","[12.0, 248.0]",,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[11.0, 249.0]",,"[514.0, 245.0]","[231.0, 269.0]",,"[11.0, 249.0]","[11.0, 249.0]",,"[11.0, 249.0]","[514.0, 245.0]","[11.0, 249.0]","[300.0, 349.0]","[333.0, 349.0]",,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 247.0]",,"[511.0, 241.0]","[232.0, 266.0]",,"[13.0, 247.0]","[13.0, 247.0]",,"[13.0, 247.0]","[511.0, 241.0]","[13.0, 247.0]","[300.0, 343.0]","[331.0, 347.0]",,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[12.0, 248.0]",,"[508.0, 238.0]","[233.0, 263.0]",,"[12.0, 248.0]","[12.0, 248.0]",,"[12.0, 248.0]","[508.0, 238.0]","[12.0, 248.0]","[300.0, 336.0]","[330.0, 346.0]",,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[11.0, 249.0]",,"[506.0, 234.0]","[234.0, 260.0]",,"[11.0, 249.0]","[11.0, 249.0]",,"[11.0, 249.0]","[506.0, 234.0]","[11.0, 249.0]","[300.0, 330.0]","[331.0, 342.0]",,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 242.0]",,"[503.0, 231.0]","[235.0, 258.0]",,"[13.0, 242.0]","[13.0, 242.0]",,"[13.0, 242.0]","[503.0, 231.0]","[13.0, 242.0]","[300.0, 324.0]","[331.0, 339.0]",,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 242.0]",,"[500.0, 228.0]","[236.0, 255.0]",,"[13.0, 242.0]","[13.0, 242.0]",,"[13.0, 242.0]","[500.0, 228.0]","[13.0, 242.0]",,"[327.0, 339.0]",,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.0, 248.0]",,,"[235.0, 253.0]",,"[10.0, 248.0]","[10.0, 248.0]",,"[10.0, 248.0]",,"[10.0, 248.0]",,"[325.0, 338.0]",,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 242.0]",,,"[237.0, 250.0]",,"[13.0, 242.0]","[13.0, 242.0]",,"[13.0, 242.0]",,"[13.0, 242.0]",,"[324.0, 336.0]",,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13.0, 243.0]",,,"[237.0, 249.0]",,"[13.0, 243.0]","[13.0, 243.0]",,"[13.0, 243.0]",,"[13.0, 243.0]",,"[321.0, 329.0]",,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.0, 248.0]",,,"[237.0, 246.0]",,"[10.0, 248.0]","[10.0, 248.0]",,"[10.0, 248.0]",,"[10.0, 248.0]",,"[323.0, 328.0]",,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.0, 248.0]",,,"[239.0, 244.0]",,"[10.0, 248.0]","[10.0, 248.0]",,"[10.0, 248.0]",,"[10.0, 248.0]",,"[323.0, 323.0]",,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.0, 248.0]",,,"[240.0, 241.0]",,"[10.0, 248.0]","[10.0, 248.0]",,"[10.0, 248.0]",,"[10.0, 248.0]",,"[323.0, 317.0]",,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 249.0]",,,"[241.0, 239.0]",,"[9.0, 249.0]","[9.0, 249.0]",,"[9.0, 249.0]",,"[9.0, 249.0]",,"[323.0, 312.0]",,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 250.0]",,,"[242.0, 236.0]",,"[9.0, 250.0]","[9.0, 250.0]",,"[9.0, 250.0]",,"[9.0, 250.0]",,"[323.0, 307.0]",,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10.0, 247.0]",,,"[242.0, 234.0]",,"[10.0, 247.0]","[10.0, 247.0]",,"[10.0, 247.0]",,"[10.0, 247.0]",,"[323.0, 302.0]","[101.0, 349.0]",,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 250.0]",,,"[243.0, 232.0]",,"[9.0, 250.0]","[9.0, 250.0]",,"[9.0, 250.0]",,"[9.0, 250.0]",,"[322.0, 297.0]","[100.0, 347.0]",,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 249.0]",,,"[244.0, 230.0]",,"[9.0, 249.0]","[9.0, 249.0]",,"[9.0, 249.0]",,"[9.0, 249.0]",,"[322.0, 292.0]","[100.0, 346.0]",,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 249.0]",,,"[245.0, 228.0]",,"[9.0, 249.0]","[9.0, 249.0]",,"[9.0, 249.0]",,"[9.0, 249.0]",,"[322.0, 287.0]","[100.0, 345.0]",,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 248.0]",,,,,"[9.0, 248.0]","[9.0, 248.0]",,"[9.0, 248.0]",,"[9.0, 248.0]",,"[322.0, 283.0]","[102.0, 341.0]",,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7.0, 250.0]",,,,,"[7.0, 250.0]","[7.0, 250.0]",,"[7.0, 250.0]",,"[7.0, 250.0]",,"[322.0, 278.0]","[105.0, 338.0]",,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[9.0, 250.0]",,,,,"[9.0, 250.0]","[9.0, 250.0]",,"[9.0, 250.0]",,"[9.0, 250.0]",,"[322.0, 274.0]","[103.0, 337.0]",,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[7.0, 250.0]",,,,,"[7.0, 250.0]","[7.0, 250.0]",,"[7.0, 250.0]",,"[7.0, 250.0]",,"[321.0, 270.0]","[109.0, 331.0]",,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 265.0]","[105.0, 335.0]",,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 262.0]","[112.0, 325.0]","[186.0, 354.0]","[94.0, 352.0]",,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 258.0]","[113.0, 322.0]","[183.0, 351.0]","[96.0, 351.0]",,,
621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 254.0]","[115.0, 319.0]","[186.0, 350.0]","[99.0, 349.0]",,,
622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 250.0]","[119.0, 314.0]","[186.0, 348.0]","[100.0, 346.0]",,,
623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 247.0]","[120.0, 312.0]","[186.0, 346.0]","[102.0, 344.0]",,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[320.0, 244.0]","[120.0, 311.0]","[187.0, 343.0]","[104.0, 342.0]",,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 240.0]","[113.0, 324.0]","[187.0, 341.0]","[113.0, 324.0]",,,
626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[321.0, 237.0]","[115.0, 322.0]","[188.0, 339.0]","[115.0, 322.0]",,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[320.0, 234.0]","[110.0, 333.0]","[189.0, 336.0]","[110.0, 333.0]","[127.0, 301.0]",,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[320.0, 231.0]","[112.0, 331.0]","[191.0, 333.0]","[112.0, 331.0]","[125.0, 301.0]",,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[320.0, 229.0]","[112.0, 327.0]","[192.0, 332.0]","[112.0, 327.0]","[126.0, 299.0]","[226.0, 334.0]",
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[320.0, 226.0]","[114.0, 324.0]","[195.0, 331.0]","[114.0, 324.0]","[127.0, 297.0]","[227.0, 330.0]",
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[120.0, 310.0]","[202.0, 330.0]","[120.0, 310.0]","[120.0, 310.0]",,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[118.0, 320.0]","[204.0, 327.0]","[118.0, 320.0]","[118.0, 320.0]",,"[126.0, 291.0]"
633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[118.0, 316.0]","[206.0, 323.0]","[118.0, 316.0]","[118.0, 316.0]",,"[128.0, 289.0]"
634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[120.0, 314.0]","[208.0, 319.0]","[120.0, 314.0]","[120.0, 314.0]",,"[129.0, 287.0]"
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[122.0, 311.0]","[209.0, 315.0]","[122.0, 311.0]","[122.0, 311.0]",,"[132.0, 285.0]"
636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[124.0, 309.0]","[210.0, 311.0]","[124.0, 309.0]","[124.0, 309.0]",,"[132.0, 283.0]"
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[130.0, 295.0]","[210.0, 308.0]","[130.0, 295.0]","[130.0, 295.0]",,"[130.0, 295.0]"
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[133.0, 291.0]","[212.0, 304.0]","[133.0, 291.0]","[133.0, 291.0]",,"[133.0, 291.0]"
639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
